,productname,price,processor,RAM,os,display,rating
124,Acer Nitro 5 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹64,899",Not Available,Not Available,Not Available,Not Available,4
125,Acer Aspire Vero Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) AV14-52P-59SX Thin ...,"₹67,390",Not Available,Not Available,Not Available,Not Available,4.5
126,HP OMEN Intel Core i9 13th Gen 13900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹62,990",Not Available,Not Available,Not Available,Not Available,4.4
127,HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹65,990",Not Available,Not Available,Not Available,Not Available,4.2
128,Lenovo IdeaPad Slim 5 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) 14ABR8 Thin and...,"₹59,500",Not Available,Not Available,Not Available,Not Available,4.1
129,Lenovo Ideapad Gaming 3i Intel Core i5 10th Gen 10300H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 G...,"₹79,990",Not Available,Not Available,Not Available,Not Available,4.3
130,HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,"₹67,590",Not Available,Not Available,Not Available,Not Available,4.4
131,HP AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0155AU Thin and Light Laptop,"₹69,500",Not Available,Not Available,Not Available,Not Available,4.3
132,Lenovo IdeaPad Gaming 3 Intel Intel Core i5 11th Gen 11300H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Gr...,"₹69,900",Not Available,Not Available,Not Available,Not Available,4.2
133,HP Pavilion Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) 14-dv1001TU Thin and Li...,"₹67,099",Not Available,Not Available,Not Available,Not Available,4.2
134,ASUS TUF AMD Ryzen 7 Quad Core 3750H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,"₹68,999",Not Available,Not Available,Not Available,Not Available,4.5
135,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen 11300H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹65,990",Not Available,Not Available,Not Available,Not Available,3.7
136,HP 15s Intel Core i5 13th Gen 1335U - (8 GB/1 TB SSD/Windows 11 Home) 15-fd0012TU Thin and Light Lapto...,"₹69,999",Not Available,Not Available,Not Available,Not Available,3.9
137,ASUS Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 30...,"₹1,16,990",Not Available,Not Available,Not Available,Not Available,4.2
138,HP Pavilion Aero AMD Ryzen 5 Hexa Core 5600U - (16 GB/512 GB SSD/Windows 10 Home) 13-BE0190AU Thin and...,"₹99,990",Not Available,Not Available,Not Available,Not Available,2.7
139,Lenovo Yoga Slim 6 WUXGA OLED Intel Evo Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Ho...,"₹66,990",Not Available,Not Available,Not Available,Not Available,4.4
140,Lenovo IdeaPad Flex 5 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 14ALC7 2 in 1 L...,"₹69,000",Not Available,Not Available,Not Available,Not Available,4.4
141,Lenovo ThinkPad E15 Intel Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 10 Home) E15 Laptop,"₹1,45,990",Not Available,Not Available,Not Available,Not Available,4.3
142,Lenovo Thinkpad E series Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Pro) TPE14G2 Bus...,"₹1,27,490",Not Available,Not Available,Not Available,Not Available,4.5
143,Lenovo ThinkPad E15 Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 10 Home) E15 Laptop,"₹61,199",Not Available,Not Available,Not Available,Not Available,2.6
144,ASUS Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home) K3502ZA-L503WS Thin and Light ...,"₹69,590",Not Available,Not Available,Not Available,Not Available,4.3
145,Lenovo IdeaPad Gaming 3 AMD Ryzen 7 Octa Core 6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,"₹65,990",Not Available,Not Available,Not Available,Not Available,4.7
146,HP Omen Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...,"₹57,990",Not Available,Not Available,Not Available,Not Available,4
147,HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,"₹62,990",Not Available,Not Available,Not Available,Not Available,4
148,HP Pavilion Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) EG2002TU Thin and Light ...,"₹65,990",Not Available,Not Available,Not Available,Not Available,4.3
149,Lenovo ThinkPad E15 Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 10 Home) E15 Thin and Lig...,"₹66,999",Not Available,Not Available,Not Available,Not Available,4.3
150,HP OMEN Intel Core i9 13th Gen 13900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹69,990",Not Available,Not Available,Not Available,Not Available,4.3
151,HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹73,990",Not Available,Not Available,Not Available,Not Available,4.3
152,DELL Inspiron Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 7420 Thin and ...,"₹40,990",Not Available,Not Available,Not Available,Not Available,4.2
153,Lenovo Ideapad Gaming 3 Intel Core i5 11th Gen 11320H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,"₹67,990",Not Available,Not Available,Not Available,Not Available,4.4
154,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen 11300H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,"₹66,990",Not Available,Not Available,Not Available,Not Available,4.2
155,HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,"₹66,990",Not Available,Not Available,Not Available,Not Available,4.3
156,HP Victus 15 AMD Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,"₹68,071",Not Available,Not Available,Not Available,Not Available,4.4
157,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹67,890",Not Available,Not Available,Not Available,Not Available,4.3
158,HP VICTUS 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,"₹54,490",Not Available,Not Available,Not Available,Not Available,4.1
159,Acer Aspire 7 Intel Core i5 12th Gen 1240P - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹60,190",Not Available,Not Available,Not Available,Not Available,4
160,HP 15s Intel Core i7 13th Gen 1360P - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0024TU Thin and Light La...,"₹62,929",Not Available,Not Available,Not Available,Not Available,4
161,HP AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0155AU Thin and Light Laptop,"₹15,990",Not Available,Not Available,Not Available,Not Available,4.2
162,HP Victus Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,"₹99,990",Not Available,Not Available,Not Available,Not Available,3.9
163,HP Victus 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹82,690",Not Available,Not Available,Not Available,Not Available,3.7
164,HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,"₹64,990",Not Available,Not Available,Not Available,Not Available,4.5
165,HP Omen Intel Core i5 7th Gen 7300HQ - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA ...,"₹60,190",Not Available,Not Available,Not Available,Not Available,4.3
166,HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹60,990",Not Available,Not Available,Not Available,Not Available,4.4
167,HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,"₹1,27,490",Not Available,Not Available,Not Available,Not Available,4.2
168,Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹46,490",Not Available,Not Available,Not Available,Not Available,4.2
169,DELL Inspiron AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop T...,"₹55,990",Not Available,Not Available,Not Available,Not Available,4
170,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹64,128",Not Available,Not Available,Not Available,Not Available,4.2
171,HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,"₹17,990",Not Available,Not Available,Not Available,Not Available,4.1
172,Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹41,000",Not Available,Not Available,Not Available,Not Available,4.4
173,MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹63,990",Not Available,Not Available,Not Available,Not Available,4.1
174,Lenovo IdeaPad Slim 5 WUXGA IPS Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 16I...,"₹44,999",Not Available,Not Available,Not Available,Not Available,4.2
175,Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) 14IAH8 Thin and...,"₹64,990",Not Available,Not Available,Not Available,Not Available,4
176,HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹59,989",Not Available,Not Available,Not Available,Not Available,4.3
177,HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,"₹62,990",Not Available,Not Available,Not Available,Not Available,4.3
178,HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForce...,"₹58,490",Not Available,Not Available,Not Available,Not Available,3.6
179,HP Victus AMD Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX ...,"₹62,990",Not Available,Not Available,Not Available,Not Available,4.2
180,CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹63,990",Not Available,Not Available,Not Available,Not Available,4.2
181,HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0186TU Thin and Light ...,"₹60,990",Not Available,Not Available,Not Available,Not Available,3.6
182,MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,"₹57,999",Not Available,Not Available,Not Available,Not Available,4
183,HP 15s Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) fy5008TU Thin and Light Laptop,"₹60,990",Not Available,Not Available,Not Available,Not Available,4.8
184,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹58,680",Not Available,Not Available,Not Available,Not Available,3.7
185,ASUS TUF A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹64,490",Not Available,Not Available,Not Available,Not Available,4.3
186,MSI Modern 15 H AI Intel Core Ultra 7 155H - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 H AI C1MG-04...,"₹63,490",Not Available,Not Available,Not Available,Not Available,4.2
187,HP AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 14s-fy1005AU Thin and Light Laptop,"₹15,990",Not Available,Not Available,Not Available,Not Available,4.5
188,DELL Inspiron 5440 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5440 Thi...,"₹62,990",Not Available,Not Available,Not Available,Not Available,4.5
189,MSI Modern 15 H AI Intel Core Ultra 7 155H - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 H AI C1MG-04...,"₹60,880",Not Available,Not Available,Not Available,Not Available,3.9
190,ASUS Vivobook 16X Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) K36...,"₹61,990",Not Available,Not Available,Not Available,Not Available,4.2
191,Acer Nitro V Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹65,990",Not Available,Not Available,Not Available,Not Available,4.3
192,ASUS Vivobook 16X Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,"₹99,990",Not Available,Not Available,Not Available,Not Available,4.2
193,ASUS TUF A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹64,990",Not Available,Not Available,Not Available,Not Available,4
194,Lenovo Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) 83BF0043IN Thin and Light Lapt...,"₹59,990",Not Available,Not Available,Not Available,Not Available,4.3
195,DELL Inspiron 5620 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5620 Lap...,"₹59,995",Not Available,Not Available,Not Available,Not Available,4.1
196,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹64,999",Not Available,Not Available,Not Available,Not Available,4.3
197,HP Victus 15 AMD Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,"₹46,490",Not Available,Not Available,Not Available,Not Available,4.3
198,ASUS Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ544WS Laptop,"₹1,27,490",Not Available,Not Available,Not Available,Not Available,4.3
199,MSI Cyborg 14 Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,"₹62,990",Not Available,Not Available,Not Available,Not Available,3.7
200,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹63,280",Not Available,Not Available,Not Available,Not Available,4.5
201,HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,"₹17,990",Not Available,Not Available,Not Available,Not Available,4.4
202,Lenovo IdeaPad Flex 5 AMD AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 14ALC7 2 in...,"₹74,990",Not Available,Not Available,Not Available,Not Available,4
203,Lenovo IdeaPad Slim 3 Backlit Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 83EM0...,"₹46,990",Not Available,Not Available,Not Available,Not Available,4
204,HP 15s Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0011TU Thin and Light Lap...,"₹61,753",Not Available,Not Available,Not Available,Not Available,4.2
205,SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGK-KG2IN / NP750XGK-...,"₹64,990",Not Available,Not Available,Not Available,Not Available,4.4
206,HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,"₹61,000",Not Available,Not Available,Not Available,Not Available,4.6
207,HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹15,990",Not Available,Not Available,Not Available,Not Available,4.4
208,HP 250 G9 Intel Core i5 12th Gen 1235U - (8 GB + 16 GB Optane/512 GB SSD/Windows 11 Home) 250 G9 Thin ...,"₹99,990",Not Available,Not Available,Not Available,Not Available,4.1
209,HP Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 15-hr0001TU Thin and Light Laptop,"₹64,999",Not Available,Not Available,Not Available,Not Available,4.2
210,CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹61,990",Not Available,Not Available,Not Available,Not Available,3.9
211,HP Victus AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NV...,"₹1,27,490",Not Available,Not Available,Not Available,Not Available,4
212,Lenovo Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Laptop,"₹46,490",Not Available,Not Available,Not Available,Not Available,4.3
213,Acer Nitro 5 AMD Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce...,"₹60,990",Not Available,Not Available,Not Available,Not Available,4.4
214,DELL Inspiron 14 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5440 Thin ...,"₹82,490",Not Available,Not Available,Not Available,Not Available,4.3
215,SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGK-KS2IN / NP750XGK-...,"₹63,999",Not Available,Not Available,Not Available,Not Available,4.6
216,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹63,890",Not Available,Not Available,Not Available,Not Available,4.4
217,HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,"₹17,990",Not Available,Not Available,Not Available,Not Available,4.4
218,realme Book Prime Intel Core i5 11th Gen 11320H - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin ...,"₹41,000",Not Available,Not Available,Not Available,Not Available,4.5
219,DELL Inspiron 15 5000 Intel Core i5 8th Gen 8250U - (8 GB/2 TB HDD/Windows 10 Home/2 GB Graphics) 5570...,"₹64,990",Not Available,Not Available,Not Available,Not Available,3.3
220,HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹64,990",Not Available,Not Available,Not Available,Not Available,3.7
221,HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,"₹60,999",Not Available,Not Available,Not Available,Not Available,4.5
222,MSI GL Series Intel Core i5 8th Gen 8300H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForc...,"₹61,990",Not Available,Not Available,Not Available,Not Available,4.3
223,Lenovo IdeaPad Flex 5 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) 14 ALC 05 2 in 1...,"₹64,990",Not Available,Not Available,Not Available,Not Available,3.8
224,Lenovo Thinkpad E series Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/DOS) TPE14G4 Business Laptop,"₹63,690",Not Available,Not Available,Not Available,Not Available,3.8
225,DELL Inspiron Intel Core i5 10th Gen 1035G1 - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) INS 5408...,"₹60,500",Not Available,Not Available,Not Available,Not Available,4
226,CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹58,990",Not Available,Not Available,Not Available,Not Available,4.2
227,HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0186TU Thin and Light ...,"₹67,250",Not Available,Not Available,Not Available,Not Available,4.2
228,MSI Modern 15 H Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home) Modern 15 H C13M Busi...,"₹69,500",Not Available,Not Available,Not Available,Not Available,4.1
229,Acer Gaming AMD Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"₹65,200",Not Available,Not Available,Not Available,Not Available,4.2
230,ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Thi...,"₹66,990",Not Available,Not Available,Not Available,Not Available,4.1
231,ASUS Vivobook 15 Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ544WS Th...,"₹15,990",Not Available,Not Available,Not Available,Not Available,4.3
232,Acer Aspire 5 Gaming Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,"₹99,990",Not Available,Not Available,Not Available,Not Available,4.2
233,ASUS VivoBook K15 OLED AMD Ryzen 5 Hexa Core AMD R5-5500U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA...,"₹64,900",Not Available,Not Available,Not Available,Not Available,4.7
234,HP Victus 16 Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹62,936",Not Available,Not Available,Not Available,Not Available,4.3
235,ASUS ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 10th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 11 H...,"₹62,890",Not Available,Not Available,Not Available,Not Available,4.2
236,HP Pavilion x360 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 14-ek0078TU Thin an...,"₹59,755",Not Available,Not Available,Not Available,Not Available,3.3
237,HP Pavilion Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 14-ek0086TU Thin and Ligh...,"₹1,27,490",Not Available,Not Available,Not Available,Not Available,4.3
238,HP Pavilion Intel Core i5 10th Gen 10300H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,"₹46,490",Not Available,Not Available,Not Available,Not Available,4.2
239,ASUS Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) K3504VA-LK542WS Laptop,"₹64,990",Not Available,Not Available,Not Available,Not Available,4.4
240,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹59,990",Not Available,Not Available,Not Available,Not Available,4.3
241,HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,"₹17,990",Not Available,Not Available,Not Available,Not Available,3.7
242,ASUS Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) X1605VA-MB546WS Laptop,"₹41,000",Not Available,Not Available,Not Available,Not Available,4.5
243,MSI GF63 Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹64,771",Not Available,Not Available,Not Available,Not Available,5
244,Vaio SE Series Intel Core i5 8th Gen 8265U - (8 GB/512 GB SSD/Windows 10 Home) NP14V1IN004P Thin and L...,"₹61,990",Not Available,Not Available,Not Available,Not Available,3.8
245,HP Intel Core i5 12th Gen 1240P - (8 GB/512 GB SSD/Windows 11 Home) 14s-dq5007tu Thin and Light Laptop,"₹63,890",Not Available,Not Available,Not Available,Not Available,4
246,HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹61,990",Not Available,Not Available,Not Available,Not Available,4.2
247,HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,"₹1,45,990",Not Available,Not Available,Not Available,Not Available,4.5
248,Infinix X2 Slim Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) XL23 Thin and Light...,"₹73,990",Not Available,Not Available,Not Available,Not Available,4.2
249,MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹72,331",Not Available,Not Available,Not Available,Not Available,4.1
250,CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹59,990",Not Available,Not Available,Not Available,Not Available,4.2
251,HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0186TU Thin and Light ...,"₹1,16,990",Not Available,Not Available,Not Available,Not Available,4
252,DELL Vostro Intel Core i5 11th Gen i5-1135G7 - (8 GB/512 GB SSD/Windows 10/2 GB Graphics) Vostro 3400 ...,"₹43,990",Not Available,Not Available,Not Available,Not Available,4.2
253,Acer ALG Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForc...,"₹62,999",Not Available,Not Available,Not Available,Not Available,4.7
254,MSI Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,"₹60,407",Not Available,Not Available,Not Available,Not Available,4.3
255,Acer Aspire 5 Intel Core i5 8th Gen 8265U - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) A515-52G Thi...,"₹52,990",Not Available,Not Available,Not Available,Not Available,4.1
256,HP OMEN Intel Core i9 13th Gen 13900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹61,990",Not Available,Not Available,Not Available,Not Available,2.8
257,HP 15s Intel Core i7 13th Gen 1360P - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0024TU Thin and Light La...,"₹15,990",Not Available,Not Available,Not Available,Not Available,2.3
258,HP Intel Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Lig...,"₹99,990",Not Available,Not Available,Not Available,Not Available,4.3
259,ASUS AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,"₹61,000",Not Available,Not Available,Not Available,Not Available,4.2
260,HP Omen Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...,"₹62,499",Not Available,Not Available,Not Available,Not Available,4
